Test Case ID,Module,Requirement,Reclassification,Reason,Latest Evidence
TC-RBAC-reports-login,Users & Roles,REQ-AUTH-001,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,[browser] credentials VALID (login accepted → forced 'Change Password' screen) but session NOT established — after the forced password chang
TC-RELF-001,Tax,REQ-RELF-001,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-RELF-002,Tax,REQ-RELF-002,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-RELF-003,Tax,REQ-RELF-002,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-RELF-004,Tax,REQ-RELF-003,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-RELF-006,Tax,REQ-RELF-005,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-RELF-007,Tax,REQ-RELF-006,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-RELF-008,Tax,REQ-RELF-001,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-RPT-009,Reports,REQ-RPT-001..008,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-RPT-011,Reports,REQ-RPT-001..008,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-RPT-012,Reports,REQ-RPT-010,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-RPT-013,Reports,REQ-RPT-009,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-RPT-014,Reports,REQ-RPT-011,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — Verify-only (§25 documented gap) — assert documented preview/not-saved behaviour via UI
TC-RPT-015,Reports,REQ-RPT-011,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-RUN-002,Payroll,REQ-RUN-001,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: overtime entry (see reports/07)
TC-RUN-014,Payroll,REQ-RUN-006,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-RUN-019,Payroll,REQ-RUN-008,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-SEC-003,Security,REQ-SEC-002,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-SEC-004,Security,REQ-SEC-003,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-SEC-006,Security,REQ-SEC-004,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-SEC-007,Security,REQ-SEC-004,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-SEC-009,Security,REQ-SEC-006,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-SEC-012,Security,REQ-SEC-008,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-SEC-014,Security,REQ-SEC-009,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-SEC-015,Security,REQ-SEC-009,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-SEC-016,Security,REQ-SEC-010,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-SEC-017,Security,REQ-SEC-008,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-SEC-018,Security,REQ-SEC-001,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-SLIP-003,Payroll,REQ-SLIP-001,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-SLIP-004,Payroll,REQ-SLIP-002,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — report export rendered client-side
TC-SLIP-009,Payroll,REQ-SLIP-007,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — report export rendered client-side
TC-SLIP-011,Payroll,REQ-SLIP-009,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)","BLOCKED — Credentials: ""list own payslips"" is staff self-service (/my/payslips); requires a Staff session, not provisioned."
TC-SLIP-012,Payroll,REQ-SLIP-009,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)","BLOCKED — Credentials: ""current payslip"" is staff self-service (/my/payslips); requires a Staff session, not provisioned."
TC-SLIP-013,Payroll,REQ-SLIP-009,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-SLIP-014,Payroll,REQ-SLIP-009,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-SLIP-015,Payroll,REQ-SLIP-009,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-SLIP-016,Payroll,REQ-SLIP-010,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-STAX-008,Payroll,REQ-STAX-006,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-STAX-009,Payroll,REQ-STAX-007,STILL BLOCKED,Reason not auto-classified — see latest evidence (manual review),no bonus threshold alert found in existing runs
TC-STAX-013,Payroll,REQ-STAX-008,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-STAX-014,Payroll,REQ-STAX-009,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-STAX-015,Payroll,REQ-STAX-008,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-STAX-016,Payroll,REQ-STAX-010,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: overtime entry (see reports/07)
TC-STAX-017,Payroll,REQ-STAX-010,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: overtime entry (see reports/07)
TC-STAX-018,Payroll,REQ-STAX-011,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-STAX-019,Payroll,REQ-STAX-012,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-STAX-020,Payroll,REQ-STAX-013,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-STAX-021,Payroll,REQ-STAX-013,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-STAX-022,Payroll,REQ-STAX-013,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-STAX-023,Payroll,REQ-STAX-013,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-TAX-006,Tax,REQ-TAX-003,ENVIRONMENT ISSUE,Test-data/environment: required seed (e.g. 2nd dated rate version) not present in sandbox,only 0 rate version present — no second dated version seeded to verify before/after-effective selection (needs a 2nd version)
TC-TAX-007,Tax,REQ-TAX-004,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-TAX-009,Tax,REQ-TAX-004,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-TAX-013,Tax,REQ-TAX-007,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-TAX-014,Tax,REQ-TAX-008,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-TAX-015,Tax,REQ-TAX-009,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-TAX-016,Tax,REQ-TAX-010,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-TAX-018,Tax,REQ-TAX-013,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)",BLOCKED — Credentials: statutory-config permission (admin vs non-admin) requires a non-admin session to prove the deny path; Manager/Staff c
TC-URB-003,Users & Roles,REQ-AUTH-006,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),[api] BLOCKED — silent no-op: PUT returns 200 but permissions_count stays 0 for all field variants; POST /roles/{id}/permissions → 405 (GET/
TC-URB-005,Users & Roles,REQ-AUTH-001,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),[api+browser] BLOCKED — admin-set password is a SILENT NO-OP: POST /users accepts `password` but login returns 422 'Invalid password' (same 
